discount,quantity,total
Birthday,41,-366
Didn't Like Food,14,-190.5
Email Champagne,2,-26
Email Dessert,2,-19
Email TY Joining,8,-107
Employee 50%,212,-1672.13
FREE Dessert APP,8,-73
FREE Pretzel Coupon,12,-156
Food Quality,13,-192.5
Happy Hour $1 Off,59,-59
Happy Hour 50%,79,-576.5
Karate School,1,-9
Kids Eat FREE Coupon,4,-36
Kitchen Mistake,2,-18
Mug Club Wine,11,-48.3
Open Discount,13,-121.5
Server Mis-ring,7,-124
Total,488,-3794.43
