discount,quantity,total
Anniversary,3,-29
Birthday,29,-262
Didn't Like Food,24,-241.25
Email Dessert,3,-27
Email TY Dining,2,-30
Email TY Joining,6,-91
Employee 50%,199,-1614.14
FREE Pretzel Coupon,7,-84.5
Food Quality,10,-131.5
Happy Hour $1 Off,29,-29
Happy Hour 50%,57,-423
Karate School,2,-18
Kitchen Mistake,7,-112.25
Mug Club Wine,13,-56.4
Open Discount,33,-270.65
Server Forgot,4,-67
Server Mis-ring,7,-117.5
Total,435,-3604.19
