Table Names,item,size,category,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
salads june.csv,Crab Cakes,,BANQUETS,25,400,400,,,
salads june.csv,Cranberry Quinoa Salad,,FOOD,181,3282.93,3474,398.2,"$2,884.73","$3,075.80"
salads june.csv,Fajita Salad,,FOOD,211,3656.67,3811,1069.77,"$2,586.90","$2,741.23"
salads june.csv,French Onion Soup,,FOOD,297,2318.24,2376,,,
salads june.csv,House Salad,,FOOD,25,364.58,397.5,,,
salads june.csv,New York Strip Steak,,FOOD,35,560,560,370.3,$189.70,$189.70
salads june.csv,Petite Filet,,FOOD,2,40,40,14.48,$25.52,$25.52
salads june.csv,Seafood Soup,Cup,FOOD,22,171.12,176,,,
salads june.csv,Seafood Soup,Bowl,FOOD,21,207.06,210,,,
salads june.csv,Side Caesar Salad,,FOOD,158,1243.1,1397,251.22,$991.88,"$1,145.78"
salads june.csv,Side Garden Salad,,FOOD,209,1654.05,1732,332.31,"$1,321.74","$1,399.69"
salads june.csv,Soup Du Jour,Bowl,FOOD,61,392.83,427,,,
salads june.csv,Soup Du Jour,Cup,FOOD,200,961.45,1000,,,
salads june.csv,Sub Caesar 1st,,FOOD,7,1,1,,,
salads june.csv,Sub House 1st,,FOOD,23,0,0,,,
salads june.csv,Wedge Salad,,FOOD,305,4727.14,4945,661.85,"$4,065.29","$4,283.15"
salads june.csv,Total,,,2290,29542.11,30898,6001.81,"$23,540.30 (79.68%)","$24,896.19 (80.58%)"
