discount,quantity,total
Anniversary,3,-35
Birthday,47,-416
CBAA Discount,24,-99.7
Didn't Like Food,30,-381.85
Email %,3,-40
Employee 50%,270,-2148.18
FREE Dessert APP,9,-138
FREE Lunch APP,9,-131
FREE Pretzel APP,3,-32.5
FREE Pretzel Coupon,15,-195
Food Quality,10,-170.5
Free Appetizer,7,-96
Happy Hour $1 Off,2,-2
Happy Hour 50%,4,-29.5
Kitchen Mistake,5,-62
Mug Club Wine,35,-156.3
Open Discount,20,-259
Server Forgot,13,-129.9
Server Mis-ring,12,-174
Total,521,-4696.43
