discount,quantity,total
Anniversary,1,-9
Birthday,45,-400
CBAA Discount,9,-31
Didn't Like Food,33,-510.15
Email Join Appetizer,2,-30
Email TY Appetizer,1,-14
Employee 50%,302,-2357.92
FREE Dessert APP,13,-164
FREE Lunch APP,8,-125
FREE Pretzel Coupon,8,-104
Food Quality,6,-60.25
Happy Hour $1 Off,56,-56
Happy Hour 50%,44,-325.5
Karate School,2,-18
Mug Club Wine,19,-81.9
Open Discount,22,-195.15
Server Mis-ring,13,-154.25
Total,584,-4636.12
