month,staff,type,card_type,amount,tip,total
june,PM Bar,Cash,,0,0,0
june,Alec M,Cash,,7.95,0,7.95
june,PM Bar,Cash,,0,0,0
june,Lisa W,Gift Card,,0.1,0,0.1
june,Lisa W,Gift Card,,1.41,0,1.41
june,Lisa W,Cash,,5.91,0,5.91
june,Alec M,Cash,,0,0,0
june,Matt G,Credit Card,Visa,-294.15,0,-294.15
june,Take Out,Credit Card,Amex,42.4,5,47.4
june,Take Out,Credit Card,Visa,62.54,0,62.54
june,Take Out,Credit Card,Visa,59.63,5,64.63
june,Jen V,Credit Card,Visa,46.64,11,57.64
june,Jess N,Credit Card,Visa,44.42,15,59.42
june,Linda B,Credit Card,Discover,47.84,10,57.84
june,AM Bar,Cash,,9.5,0,9.5
june,Jen V,Cash,,62.81,0,62.81
june,Linda B,Cash,,27.56,0,27.56
june,Linda B,Cash,,26.5,0,26.5
june,Linda B,Cash,,26.5,0,26.5
june,Linda B,Cash,,16.96,0,16.96
june,Linda B,Cash,,16.96,0,16.96
june,Linda B,Credit Card,Visa,21,0,21
june,Linda B,Cash,,5.5,0,5.5
june,Jen V,Credit Card,Visa,60.28,12,72.28
june,Jess N,Credit Card,Visa,69.96,15.04,85
june,Linda B,Credit Card,Mastercard,35.94,7,42.94
june,KJ V,Credit Card,Mastercard,424.5,0,424.5
june,KJ V,Credit Card,Mastercard,356.83,0,356.83
june,Jen V,Credit Card,Mastercard,35.94,8,43.94
june,Linda B,Credit Card,Amex,25.96,5,30.96
june,Jen V,Credit Card,Visa,24.38,4.8,29.18
june,Linda B,Credit Card,Visa,24.9,5,29.9
june,Linda B,Credit Card,Visa,50.22,10,60.22
june,AM Bar,Credit Card,Amex,31.8,9,40.8
june,AM Bar,Cash,,81.41,0,81.41
june,AM Bar,Cash,,51.92,0,51.92
june,Jess N,Cash,,112.05,0,112.05
june,Take Out,Credit Card,Visa,199.8,0,199.8
june,Take Out,Credit Card,Mastercard,199.8,0,199.8
june,Jen V,Credit Card,Mastercard,118.6,24,142.6
june,AM Bar,Credit Card,Visa,126.99,28,154.99
june,AM Bar,Gift Card,,66.57,0,66.57
june,AM Bar,Cash,,50.84,0,50.84
june,Jess N,Credit Card,Amex,48.23,10,58.23
june,Jen V,Credit Card,Amex,60.46,12,72.46
june,Linda B,Gift Card,,17.48,0,17.48
june,Linda B,Gift Card,,25,0,25
june,Linda B,Credit Card,Visa,30.88,15,45.88
june,AM Bar,Credit Card,Visa,26.92,10,36.92
june,Jen V,Credit Card,Mastercard,28.22,10,38.22
june,Jen V,Credit Card,Visa,28.23,6,34.23
june,Take Out,Credit Card,Mastercard,100,0,100
june,AM Bar,Credit Card,Visa,23.66,5,28.66
june,Take Out,Credit Card,Amex,227.55,0,227.55
june,AM Bar,Cash,,87.94,0,87.94
june,Jess N,Gift Card,,50,0,50
june,Jess N,Gift Card,,32.47,0,32.47
june,Linda B,Credit Card,Visa,8.48,0,8.48
june,Linda B,Cash,,106.51,0,106.51
june,Take Out,Cash,,155.4,0,155.4
june,AM Bar,Credit Card,Mastercard,82.45,16,98.45
june,Take Out,Credit Card,Visa,200,0,200
june,Wall Bar,Credit Card,Visa,22,5,27
june,AM Bar,Credit Card,Visa,37,8,45
june,AM Bar,Credit Card,Visa,95.1,0,95.1
june,AM Bar,Credit Card,Amex,108.12,22,130.12
june,AM Bar,Cash,,6.5,0,6.5
june,Take Out,Cash,,70,0,70
june,Take Out,Credit Card,Visa,7.42,0,7.42
june,Take Out,Credit Card,Visa,45.58,0,45.58
june,Jen V,Credit Card,Visa,26.3,3.7,30
june,Take Out,Credit Card,Visa,310.8,0,310.8
june,Take Out,Credit Card,Visa,155.4,0,155.4
june,Wall Bar,Credit Card,Visa,62.64,10,72.64
june,Take Out,Credit Card,Discover,200,0,200
june,Wall Bar,Credit Card,Visa,60.39,0,60.39
june,Wall Bar,Cash,,33.7,0,33.7
june,Caroline S,Credit Card,Visa,21.72,0,21.72
june,Caroline S,Credit Card,Visa,21.72,0,21.72
june,Take Out,Credit Card,Amex,31.8,2,33.8
june,Wall Bar,Credit Card,Mastercard,45.31,0,45.31
june,Take Out,Credit Card,Visa,71.02,0,71.02
june,Take Out,Cash,,17.23,0,17.23
june,PM Bar,Credit Card,Mastercard,57.15,0,57.15
june,PM Bar,Cash,,130.36,0,130.36
june,Alexis F,Credit Card,Mastercard,52.46,0,52.46
june,Wall Bar,Credit Card,Visa,23.9,7,30.9
june,Wall Bar,Credit Card,Visa,34.9,10,44.9
june,PM Bar,Cash,,52.8,0,52.8
june,PM Bar,Cash,,48.84,0,48.84
june,Take Out,Credit Card,Visa,310.8,0,310.8
june,PM Bar,Cash,,4,0,4
june,Wall Bar,Credit Card,Visa,36,8,44
june,Alexis F,Credit Card,Mastercard,20.51,10,30.51
june,Alexis F,Credit Card,Visa,20.51,10,30.51
june,Take Out,Credit Card,Mastercard,399.6,0,399.6
june,Wall Bar,Cash,,48.88,0,48.88
june,Take Out,Credit Card,Visa,160.42,0,160.42
june,Heather C,Credit Card,Mastercard,44.12,13,57.12
june,Wall Bar,Cash,,43.68,0,43.68
june,Monica G,Credit Card,Visa,33.41,11,44.41
june,Caroline S,Credit Card,Visa,47.97,9,56.97
june,Wall Bar,Credit Card,Mastercard,62.88,20,82.88
june,Take Out,Credit Card,Amex,310.8,0,310.8
june,PM Bar,Credit Card,Visa,137.6,28,165.6
june,Julia K,Credit Card,Amex,55.27,15,70.27
june,Heather C,Credit Card,Visa,63.18,15,78.18
june,Ashley A,Credit Card,Visa,65.7,12,77.7
june,Nick  D,Credit Card,Visa,233.68,0,233.68
june,PM Bar,Cash,,8,0,8
june,Take Out,Cash,,48.76,0,48.76
june,Alexis F,Credit Card,Amex,89.53,30.47,120
june,Ashley A,Credit Card,Visa,119.04,25,144.04
june,Caroline S,Credit Card,Visa,73.49,14,87.49
june,Caroline S,Credit Card,Visa,56.28,0,56.28
june,Alexis F,Credit Card,Visa,119.13,50,169.13
june,Take Out,Credit Card,Visa,90.37,5,95.37
june,Alexis F,Credit Card,Visa,27.33,6,33.33
june,Take Out,Credit Card,Visa,57.24,9,66.24
june,PM Bar,Credit Card,Visa,40.26,8,48.26
june,Alexis F,Credit Card,Mastercard,79.02,0,79.02
june,Ashley A,Cash,,71.02,0,71.02
june,Wall Bar,Credit Card,Visa,56.32,10,66.32
june,Take Out,Credit Card,Visa,38.16,10,48.16
june,Caroline S,Credit Card,Mastercard,37.14,5,42.14
june,Caroline S,Credit Card,Amex,37.15,10,47.15
june,Nick  D,Credit Card,Visa,40,5,45
june,Nick  D,Cash,,93.6,0,93.6
june,Clay  R,Credit Card,Mastercard,50.24,10,60.24
june,Alexis F,Credit Card,Mastercard,89.18,15.82,105
june,PM Bar,Credit Card,Visa,18,5,23
june,Monica G,Credit Card,Visa,68.11,14,82.11
june,Monica G,Credit Card,Discover,201.76,0,201.76
june,Heather C,Gift Card,,111.41,0,111.41
june,PM Bar,Credit Card,Amex,15.75,3,18.75
june,Wall Bar,Credit Card,Mastercard,65.5,15,80.5
june,Ashley A,Credit Card,Visa,32.62,12,44.62
june,Wall Bar,Cash,,9.5,0,9.5
june,Wall Bar,Credit Card,Mastercard,81.62,16,97.62
june,Heather C,Credit Card,Mastercard,128.46,25,153.46
june,Wall Bar,Credit Card,Visa,50.27,12,62.27
june,PM Bar,Gift Card,,64.66,0,64.66
june,PM Bar,Cash,,14.25,0,14.25
june,Alexis F,Credit Card,Visa,41.74,0,41.74
june,PM Bar,Credit Card,Visa,74.27,16,90.27
june,PM Bar,Credit Card,Amex,118.52,24,142.52
june,Alexis F,Cash,,90.82,0,90.82
june,Caroline S,Credit Card,Visa,78.56,16,94.56
june,Alexis F,Credit Card,Mastercard,55.46,11.04,66.5
june,Clay  R,Credit Card,Visa,59.09,15,74.09
june,Clay  R,Credit Card,Visa,59.09,15,74.09
june,Julia K,Credit Card,Mastercard,135.26,27,162.26
june,Alexis F,Credit Card,Visa,58.46,12,70.46
june,Mackenzie W,Credit Card,Visa,125.67,0,125.67
june,PM Bar,Credit Card,Mastercard,35.08,0,35.08
june,Heather C,Credit Card,Visa,117.01,24,141.01
june,Nick  D,Gift Card,,100,0,100
june,Nick  D,Credit Card,Mastercard,40.58,18,58.58
june,Nick  D,Credit Card,Mastercard,40.48,18,58.48
june,Ashley A,Credit Card,Visa,139.58,30,169.58
june,Alexis F,Cash,,84.47,0,84.47
june,Julia K,Credit Card,Mastercard,48.03,15,63.03
june,PM Bar,Credit Card,Mastercard,66.1,13,79.1
june,Take Out,Credit Card,Visa,44.52,0,44.52
june,Nick  D,Credit Card,Mastercard,103.63,20,123.63
june,Monica G,Credit Card,Visa,157.16,30,187.16
june,Nick  D,Credit Card,Visa,103.64,20,123.64
june,Take Out,Credit Card,Amex,74.47,0,74.47
june,Take Out,Credit Card,Visa,49.82,0,49.82
june,Julia K,Credit Card,Mastercard,89.04,20,109.04
june,Nick  D,Credit Card,Visa,9,0,9
june,Clay  R,Credit Card,Visa,113.22,25,138.22
june,Julia K,Credit Card,Discover,116.66,23,139.66
june,Nick  D,Gift Card,,50,0,50
june,Nick  D,Credit Card,Visa,16.04,16,32.04
june,Ashley A,Credit Card,Visa,72.83,15,87.83
june,Mackenzie W,Credit Card,Visa,57.03,20,77.03
june,Monica G,Credit Card,Mastercard,192.38,38,230.38
june,Heather C,Credit Card,Mastercard,48.66,16,64.66
june,Mackenzie W,Credit Card,Mastercard,321.12,65,386.12
june,Wall Bar,Credit Card,Visa,61.95,10,71.95
june,Wall Bar,Credit Card,Visa,54.36,10,64.36
june,Wall Bar,Credit Card,Visa,46.43,4,50.43
june,Alexis F,Gift Card,,52,0,52
june,Caroline S,Cash,,130,0,130
june,Caroline S,Credit Card,Mastercard,84.72,40,124.72
june,Wall Bar,Credit Card,Visa,80.46,16,96.46
june,Take Out,Credit Card,Mastercard,71.02,0,71.02
june,Clay  R,Credit Card,Visa,109.59,0,109.59
june,Clay  R,Credit Card,Visa,109.6,22,131.6
june,Caroline S,Credit Card,Mastercard,20.14,8,28.14
june,Heather C,Cash,,65.16,0,65.16
june,PM Bar,Credit Card,Visa,57.6,12,69.6
june,Clay  R,Credit Card,Visa,75.44,15,90.44
june,Mackenzie W,Credit Card,Mastercard,141.92,28,169.92
june,Julia K,Cash,,58.2,0,58.2
june,Alexis F,Cash,,104.52,0,104.52
june,Nick  D,Credit Card,Mastercard,89.49,0,89.49
june,Clay  R,Credit Card,Visa,448.21,90,538.21
june,Heather C,Cash,,126.66,0,126.66
june,Ashley A,Credit Card,Visa,149.7,40,189.7
june,Alexis F,Credit Card,Amex,96.32,20,116.32
june,Mackenzie W,Credit Card,Mastercard,101.84,0,101.84
june,Alexis F,Credit Card,Mastercard,43.46,10,53.46
june,Monica G,Credit Card,Mastercard,108.96,0,108.96
june,Monica G,Credit Card,Amex,108.96,20,128.96
june,Wall Bar,Cash,,14,0,14
june,Monica G,Credit Card,Mastercard,108.96,20,128.96
june,PM Bar,Credit Card,Visa,48.52,10,58.52
june,Alexis F,Credit Card,Visa,119.24,24,143.24
june,Monica G,Credit Card,Amex,163.88,33,196.88
june,Clay  R,Credit Card,Visa,120.75,25,145.75
june,Jen V,Cash,,2733.28,0,2733.28
june,PM Bar,Cash,,14,0,14
june,Ashley A,Credit Card,Visa,98.9,0,98.9
june,Ashley A,Credit Card,Amex,89.47,0,89.47
june,Ashley A,Credit Card,Amex,89.48,20,109.48
june,Heather C,Credit Card,Visa,222.82,22,244.82
june,Clay  R,Credit Card,Mastercard,91.36,25,116.36
june,Caroline S,Credit Card,Mastercard,446.06,90,536.06
june,Wall Bar,Cash,,42.98,0,42.98
june,PM Bar,Cash,,65.46,0,65.46
june,PM Bar,Credit Card,Visa,55.12,20,75.12
june,Wall Bar,Cash,,26.75,0,26.75
june,Caroline S,Credit Card,Visa,21.2,0,21.2
june,Wall Bar,Credit Card,Amex,57,20,77
june,Alexis F,Credit Card,Visa,88.97,12,100.97
june,Wall Bar,Cash,,12,0,12
june,Wall Bar,Credit Card,Visa,142.82,30,172.82
june,Wall Bar,Cash,,5.5,0,5.5
june,Wall Bar,Credit Card,Visa,12,3,15
june,PM Bar,Credit Card,Amex,60,20,80
june,Mackenzie W,Credit Card,Visa,5.83,0,5.83
june,PM Bar,Cash,,93.9,0,93.9
june,Alexis F,Cash,,7.42,0,7.42
june,Caroline S,Cash,,15.9,0,15.9
june,Alexis F,Gift Card,,10.07,0,10.07
june,Julia K,Cash,,10.07,0,10.07
june,Ashley A,Cash,,16.96,0,16.96
june,PM Bar,Cash,,14.84,0,14.84
june,Jamie S,Credit Card,Visa,6.36,0,6.36
june,Wall Bar,Credit Card,Amex,54,11,65
june,PM Bar,Credit Card,Visa,41.44,10,51.44
june,PM Bar,Credit Card,Mastercard,74.03,0,74.03
june,PM Bar,Credit Card,Visa,73.76,0,73.76
june,Alexis F,Cash,,7.42,0,7.42
june,Wall Bar,Credit Card,Mastercard,10,5,15
june,Wall Bar,Credit Card,Visa,35.25,6,41.25
june,PM Bar,Credit Card,Discover,19,6,25
june,PM Bar,Cash,,22,0,22
june,Wall Bar,Credit Card,Mastercard,55.75,10,65.75
june,Keira Heinzmann,Credit Card,Visa,155.4,0,155.4
june,PM Bar,Cash,,16,0,16
june,PM Bar,Credit Card,Discover,30,6,36
june,PM Bar,Cash,,5.5,0,5.5
june,PM Bar,Credit Card,Mastercard,19,4,23
june,PM Bar,Credit Card,Visa,14.5,2,16.5
june,PM Bar,Credit Card,Mastercard,9.5,5,14.5
june,PM Bar,Cash,,35,0,35
june,PM Bar,Cash,,7.95,0,7.95
june,PM Bar,Cash,,13,0,13
june,PM Bar,Cash,,10,0,10
june,PM Bar,Cash,,6,0,6
june,PM Bar,Cash,,10.6,0,10.6
june,PM Bar,Cash,,0,0,0
june,PM Bar,Cash,,0,0,0
june,AM Bar,Credit Card,Visa,14,3,17
june,Take Out,Credit Card,Visa,50,0,50
june,AM Bar,Credit Card,Visa,30,5,35
june,AM Bar,Cash,,12,0,12
june,AM Bar,Credit Card,Visa,43,0,43
june,Take Out,Credit Card,Mastercard,30.74,0,30.74
june,Take Out,Credit Card,Mastercard,200,0,200
june,AM Bar,Credit Card,Visa,8,0,8
june,AM Bar,Credit Card,Visa,80.46,15,95.46
june,Take Out,Custom Tender,,100,0,100
june,Take Out,Credit Card,Visa,23.72,0,23.72
june,AM Bar,Credit Card,Visa,16.5,0,16.5
june,Andrew S,Credit Card,Visa,119.05,24,143.05
june,Linda B,Credit Card,Visa,68.9,13,81.9
june,Jamie S,Cash,,62.54,0,62.54
june,Take Out,Credit Card,Amex,155.4,0,155.4
june,Andrew S,Cash,,61.46,0,61.46
june,AM Bar,Cash,,76.22,0,76.22
june,AM Bar,Credit Card,Discover,58.44,14.56,73
june,AM Bar,Credit Card,Mastercard,73.96,15.04,89
june,AM Bar,Cash,,68.64,0,68.64
june,Andrew S,Credit Card,Visa,167.66,33,200.66
june,AM Bar,Cash,,84.59,0,84.59
june,Jamie S,Credit Card,Visa,62.7,13.3,76
june,AM Bar,Credit Card,Visa,17,3,20
june,Andrew S,Credit Card,Visa,42.4,6,48.4
june,AM Bar,Credit Card,Visa,61.48,0,61.48
june,AM Bar,Credit Card,Mastercard,48.81,10,58.81
june,Take Out,Credit Card,Amex,255.3,0,255.3
june,Linda B,Cash,,77.54,0,77.54
june,Linda B,Credit Card,Visa,106.32,0,106.32
june,KJ V,Credit Card,Mastercard,171.63,34,205.63
june,AM Bar,Credit Card,Mastercard,10,2,12
june,Take Out,Credit Card,Amex,199.8,0,199.8
june,AM Bar,Credit Card,Visa,61.64,12,73.64
june,Linda B,Cash,,41.86,0,41.86
june,AM Bar,Credit Card,Visa,70.66,0,70.66
june,Jamie S,Credit Card,Visa,212,40,252
june,Take Out,Credit Card,Mastercard,33.92,0,33.92
june,Take Out,Credit Card,Visa,200,0,200
june,Jamie S,Credit Card,Amex,543.84,107.16,651
june,Linda B,Credit Card,Visa,70,0,70
june,AM Bar,Credit Card,Visa,28,0,28
june,Keira Heinzmann,Credit Card,Visa,1393.6,200,1593.6
june,AM Bar,Cash,,26.9,0,26.9
june,KJ V,Credit Card,Discover,1412.86,40.72,1453.58
june,AM Bar,Credit Card,Visa,27.5,8,35.5
june,Take Out,Credit Card,Visa,37.63,0,37.63
june,Jamie S,Credit Card,Visa,71.27,14,85.27
june,Jamie S,Credit Card,Mastercard,71.27,14,85.27
june,Andrew S,Credit Card,Visa,49.08,10,59.08
june,AM Bar,Credit Card,Discover,39.38,9,48.38
june,AM Bar,Credit Card,Amex,50.56,10.44,61
june,AM Bar,Credit Card,Visa,46.13,8,54.13
june,Wall Bar,Credit Card,Visa,46.88,10,56.88
june,AM Bar,Cash,,64,0,64
june,AM Bar,Cash,,71.5,0,71.5
june,Take Out,Credit Card,Visa,160.42,0,160.42
june,AM Bar,Cash,,65.19,0,65.19
june,Jess N,Cash,,7.42,0,7.42
june,Take Out,Credit Card,Visa,14.84,0,14.84
june,Jamie S,Credit Card,Visa,55.12,11,66.12
june,Take Out,Credit Card,Discover,50,0,50
june,Take Out,Credit Card,Visa,94.34,0,94.34
june,PM Bar,Cash,,14.18,0,14.18
june,Jamie S,Credit Card,Visa,88.22,15,103.22
june,Andrew S,Credit Card,Visa,50.09,10,60.09
june,Jamie S,Credit Card,Visa,86.14,17,103.14
june,Andrew S,Credit Card,Amex,709.67,142.67,852.34
june,PM Bar,Credit Card,Visa,6.5,1,7.5
june,Clay  R,Credit Card,Visa,49.82,10,59.82
june,Take Out,Credit Card,Visa,119.78,15,134.78
june,Lisa W,Credit Card,Visa,50.88,10,60.88
june,PM Bar,Credit Card,Visa,11.66,1,12.66
june,Mackenzie W,Cash,,1027.24,0,1027.24
june,Lisa W,Credit Card,Visa,174.08,35,209.08
june,Wall Bar,Credit Card,Visa,76.04,20,96.04
june,Wall Bar,Cash,,53.86,0,53.86
june,Lisa W,Cash,,91.99,0,91.99
june,Linda B,Credit Card,Visa,56.36,0,56.36
june,Linda B,Credit Card,Mastercard,636.64,0,636.64
june,Clay  R,Credit Card,Visa,40.78,10,50.78
june,Wall Bar,Credit Card,Visa,24.96,6,30.96
june,PM Bar,Cash,,31.5,0,31.5
june,Linda B,Cash,,19,0,19
june,Lisa W,Gift Card,,60,0,60
june,Lisa W,Cash,,7.48,0,7.48
june,PM Bar,Credit Card,Visa,47.78,0,47.78
june,Clay  R,Credit Card,Visa,46.64,12,58.64
june,PM Bar,Cash,,76.82,0,76.82
june,Take Out,Credit Card,Amex,49.82,0,49.82
june,PM Bar,Credit Card,Mastercard,77.38,20,97.38
june,Nick  D,Credit Card,Visa,33.34,6,39.34
june,Nick  D,Credit Card,Visa,33.34,6,39.34
june,Lisa W,Credit Card,Visa,43.23,9,52.23
june,Lisa W,Credit Card,Visa,43.23,8,51.23
june,Lisa W,Credit Card,Visa,43.23,8,51.23
june,Jamie S,Credit Card,Visa,250.26,50,300.26
june,Nick  D,Cash,,156.28,0,156.28
june,Heather C,Credit Card,Visa,154.06,34,188.06
june,Julia K,Credit Card,Visa,66.16,15,81.16
june,Julia K,Credit Card,Visa,66.16,15,81.16
june,Lisa W,Credit Card,Visa,55.65,10,65.65
june,Alec M,Credit Card,Visa,94.27,20,114.27
june,Alec M,Credit Card,Mastercard,94.26,20,114.26
june,Alec M,Credit Card,Discover,94.27,20,114.27
june,Julia K,Credit Card,Mastercard,67.13,13,80.13
june,Take Out,Credit Card,Visa,65.72,0,65.72
june,Clay  R,Gift Card,,15.68,0,15.68
june,Clay  R,Gift Card,,10,0,10
june,Clay  R,Credit Card,Visa,60.34,17,77.34
june,Julia K,Credit Card,Mastercard,116.4,24,140.4
june,Alec M,Credit Card,Visa,84.01,15.99,100
june,Alec M,Cash,,117.94,0,117.94
june,Clay  R,Credit Card,Visa,102.53,25,127.53
june,Nick  D,Cash,,104.34,0,104.34
june,Heather C,Credit Card,Visa,119.9,24,143.9
june,Lisa W,Credit Card,Visa,112.28,22.72,135
june,Linda B,Credit Card,Visa,87.6,0,87.6
june,Take Out,Credit Card,Mastercard,82.68,5,87.68
june,Clay  R,Cash,,35,0,35
june,Clay  R,Credit Card,Mastercard,46.89,0,46.89
june,Mackenzie W,Credit Card,Mastercard,77.64,14,91.64
june,Jamie S,Credit Card,Visa,173.13,40,213.13
june,Julia K,Credit Card,Visa,44.72,8,52.72
june,Clay  R,Gift Card,,86.9,0,86.9
june,Julia K,Credit Card,Visa,40.28,7,47.28
june,Julia K,Credit Card,Visa,60.42,0,60.42
june,Lisa W,Credit Card,Mastercard,59.5,15.5,75
june,Take Out,Cash,,38.16,0,38.16
june,Clay  R,Credit Card,Visa,45.1,0,45.1
june,Wall Bar,Credit Card,Mastercard,72.01,15,87.01
june,Alec M,Credit Card,Mastercard,96.02,19,115.02
june,Nick  D,Cash,,109.62,0,109.62
june,Clay  R,Credit Card,Mastercard,112.51,27,139.51
june,Linda B,Credit Card,Visa,106.26,26,132.26
june,Clay  R,Credit Card,Visa,198.26,38,236.26
june,PM Bar,Cash,,13.25,0,13.25
june,Heather C,Credit Card,Visa,136.69,27,163.69
june,Heather C,Credit Card,Mastercard,147.58,30,177.58
june,Mackenzie W,Credit Card,Visa,104.94,20,124.94
june,Linda B,Credit Card,Visa,107.84,0,107.84
june,PM Bar,Credit Card,Amex,41.7,8,49.7
june,PM Bar,Credit Card,Mastercard,168.15,40,208.15
june,Julia K,Credit Card,Mastercard,108.97,21,129.97
june,PM Bar,Credit Card,Visa,24,6,30
june,Linda B,Credit Card,Visa,93.27,18,111.27
june,Heather C,Credit Card,Mastercard,75.79,15,90.79
june,Heather C,Credit Card,Visa,66.68,13,79.68
june,Take Out,Credit Card,Visa,14.57,0,14.57
june,Andrew S,Credit Card,Amex,85.18,20,105.18
june,Linda B,Credit Card,Discover,126.79,28,154.79
june,Julia K,Credit Card,Visa,54.17,14,68.17
june,Nick  D,Credit Card,Mastercard,103.43,30,133.43
june,Nick  D,Credit Card,Visa,77.72,17,94.72
june,Nick  D,Credit Card,Mastercard,103.43,30,133.43
june,Lisa W,Cash,,87.52,0,87.52
june,Lisa W,Credit Card,Visa,100.01,0,100.01
june,Andrew S,Credit Card,Amex,95.4,0,95.4
june,Wall Bar,Cash,,22.79,0,22.79
june,PM Bar,Credit Card,Visa,73.98,0,73.98
june,Mackenzie W,Credit Card,Visa,546.78,109,655.78
june,Clay  R,Credit Card,Discover,96.14,20,116.14
june,Mackenzie W,Credit Card,Discover,143.42,30,173.42
june,Alec M,Credit Card,Mastercard,138,28,166
june,Jamie S,Credit Card,Mastercard,27.83,0,27.83
june,Jamie S,Cash,,30,0,30
june,Clay  R,Credit Card,Mastercard,69.75,12,81.75
june,Jamie S,Credit Card,Mastercard,33.6,12.6,46.2
june,Lisa W,Credit Card,Visa,91.59,20,111.59
june,Alec M,Credit Card,Visa,142.08,28,170.08
june,PM Bar,Cash,,9.54,0,9.54
june,Jamie S,Cash,,4.24,0,4.24
june,Clay  R,Gift Card,,34.44,0,34.44
june,Lisa W,Credit Card,Visa,176.14,0,176.14
june,PM Bar,Credit Card,Visa,93.36,18,111.36
june,Lisa W,Credit Card,Visa,99.88,24,123.88
june,Linda B,Credit Card,Visa,56.98,0,56.98
june,Take Out,Credit Card,Amex,145.22,0,145.22
june,Clay  R,Credit Card,Discover,110.5,25,135.5
june,Clay  R,Credit Card,Visa,110.5,25,135.5
june,Alec M,Credit Card,Mastercard,45.58,15,60.58
june,PM Bar,Credit Card,Visa,56.25,14,70.25
june,Heather C,Credit Card,Amex,102.86,20.4,123.26
june,Wall Bar,Cash,,6.5,0,6.5
june,Clay  R,Credit Card,Mastercard,166.6,33.32,199.92
june,Wall Bar,Credit Card,Visa,14,3,17
june,Julia K,Credit Card,Mastercard,57.97,14,71.97
june,Mackenzie W,Credit Card,Visa,143,30,173
june,Wall Bar,Cash,,7,0,7
june,Linda B,Credit Card,Visa,4.24,0,4.24
june,Clay  R,Credit Card,Visa,89.76,18,107.76
june,Clay  R,Credit Card,Visa,155.36,30,185.36
june,Mackenzie W,Cash,,117.95,0,117.95
june,Mackenzie W,Credit Card,Visa,2.65,0,2.65
june,Lisa W,Cash,,54,0,54
june,Lisa W,Credit Card,Discover,27.62,17.4,45.02
june,PM Bar,Credit Card,Mastercard,28.5,6,34.5
june,Lisa W,Credit Card,Visa,97.44,0,97.44
june,Julia K,Cash,,9.54,0,9.54
june,Julia K,Cash,,0.27,0,0.27
june,Take Out,Cash,,10.6,0,10.6
june,Take Out,Credit Card,Mastercard,155.4,0,155.4
june,PM Bar,Credit Card,Visa,27,2,29
june,Mackenzie W,Cash,,8.48,0,8.48
june,PM Bar,Credit Card,Visa,14,3,17
june,Alec M,Cash,,7.42,0,7.42
june,PM Bar,Credit Card,Visa,41,9,50
june,PM Bar,Credit Card,Visa,8,0,8
june,PM Bar,Credit Card,Amex,47.75,8,55.75
june,Wall Bar,Credit Card,Mastercard,19.08,20,39.08
june,PM Bar,Credit Card,Visa,108.58,0,108.58
june,PM Bar,Cash,,6.5,0,6.5
june,PM Bar,Cash,,15,0,15
june,PM Bar,Cash,,6.25,0,6.25
june,Clay  R,Cash,,5.3,0,5.3
june,Lisa W,Credit Card,Visa,64.93,13,77.93
june,Lisa W,Credit Card,Visa,101.27,20,121.27
june,PM Bar,Credit Card,Amex,35,7,42
june,Lisa W,Cash,,83,0,83
june,Lisa W,Credit Card,Mastercard,42.32,17,59.32
june,Lisa W,Credit Card,Visa,42.31,20,62.31
june,PM Bar,Credit Card,Mastercard,21,5,26
june,PM Bar,Credit Card,Visa,11,3,14
june,PM Bar,Credit Card,Visa,110.45,0,110.45
june,PM Bar,Cash,,8.61,0,8.61
june,PM Bar,Cash,,8.48,0,8.48
june,Ashley A,Credit Card,Mastercard,54.33,5,59.33
june,AM Bar,Credit Card,Visa,40.88,10,50.88
june,AM Bar,Credit Card,Mastercard,51.22,10,61.22
june,Alexis F,Credit Card,Amex,57.77,12.23,70
june,AM Bar,Credit Card,Mastercard,20.44,5,25.44
june,AM Bar,Credit Card,Visa,20.44,4,24.44
june,AM Bar,Credit Card,Amex,40.88,10,50.88
june,AM Bar,Credit Card,Visa,64.77,12,76.77
june,AM Bar,Credit Card,Visa,48.88,10,58.88
june,AM Bar,Credit Card,Visa,66.06,20,86.06
june,AM Bar,Credit Card,Mastercard,25.44,5,30.44
june,AM Bar,Credit Card,Mastercard,86.92,14,100.92
june,AM Bar,Credit Card,Mastercard,20.44,5,25.44
june,KJ V,Credit Card,Mastercard,169.87,40,209.87
june,Alexis F,Cash,,101.76,0,101.76
june,KJ V,Credit Card,Visa,121.9,24,145.9
june,AM Bar,Credit Card,Amex,26,7,33
june,Ashley A,Credit Card,Visa,144.43,0,144.43
june,KJ V,Credit Card,Mastercard,53.27,6,59.27
june,KJ V,Credit Card,Mastercard,53.27,10,63.27
june,KJ V,Credit Card,Mastercard,53.27,6,59.27
june,KJ V,Credit Card,Visa,62.88,13,75.88
june,AM Bar,Credit Card,Mastercard,58.88,10,68.88
june,Ashley A,Cash,,63.88,0,63.88
june,Jess N,Credit Card,Visa,220.75,0,220.75
june,AM Bar,Credit Card,Visa,76.32,15.26,91.58
june,Alexis F,Credit Card,Mastercard,108.65,20,128.65
june,Jess N,Credit Card,Visa,155.82,0,155.82
june,AM Bar,Credit Card,Mastercard,80.06,20,100.06
june,Ashley A,Credit Card,Visa,54.06,10,64.06
june,Ashley A,Credit Card,Amex,65.19,12,77.19
june,Alexis F,Gift Card,,91.66,0,91.66
june,Alexis F,Credit Card,Mastercard,67.87,0,67.87
june,Ashley A,Credit Card,Amex,101.47,30.53,132
june,AM Bar,Credit Card,Mastercard,83.21,16,99.21
