discount,quantity,total
Birthday,1,-8
Didn't Like Food,6,-80
Employee 50%,41,-386
Food Quality,34,-390
Free Appetizer,1,-15
Free Dessert Coupon,4,-34
Kitchen Mistake,1,-17
Kitchen Took Too Long,4,-37.75
Mug Club Wine,4,-18.9
Open Discount,16,-117.15
Server Mis-ring,10,-102
Total,122,-1205.8
