discount,quantity,total
Anniversary,3,-22
Birthday,3,-54
Didn't Like Food,7,-75
Employee 50%,42,-343.63
Food Quality,35,-477
Free Appetizer,2,-26
Kitchen Mistake,1,-16
Kitchen Took Too Long,1,-13
Mug Club Wine,5,-22.95
Open Discount,11,-92.75
Server Mis-ring,7,-124
Total,117,-1266.33
