Table Names,item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Sandwiches March 2024.csv,Bison Burger,,FOOD,,242,3668.89,3902,1241.46,2427.43,2660.54
Sandwiches March 2024.csv,Buffalo Chicken Sandwich,,FOOD,,6,70.42,90,,,
Sandwiches March 2024.csv,Chicken Burger,,FOOD,,42,633.39,696,210,423.39,486
Sandwiches March 2024.csv,Chicken Cutlet Club,,FOOD,,303,4621.62,4874.5,1363.5,3258.12,3511
Sandwiches March 2024.csv,Chicken Parmesan Sandwich,,FOOD,,8,90.67,112,,,
Sandwiches March 2024.csv,Chicken Parmigiana,,FOOD,,36,0,0,198,0,0
Sandwiches March 2024.csv,Chicken Salad Pita,,FOOD,,273,3955.44,4104.5,1365,2590.44,2739.5
Sandwiches March 2024.csv,Crab Cake Sandwich,,FOOD,,220,4264.99,4401,2076.8,2188.19,2324.2
Sandwiches March 2024.csv,French Dip,,FOOD,,367,6882.09,7354,2752.5,4129.59,4601.5
Sandwiches March 2024.csv,French Fries,,FOOD,,446,733,733,446,287,287
Sandwiches March 2024.csv,Honey Mustard Chicken Wrap,,FOOD,,166,2375.82,2495.5,733.72,1642.1,1761.78
Sandwiches March 2024.csv,Loaded Fries,,FOOD,,4,15,15,,,
Sandwiches March 2024.csv,Onion Petals,,FOOD,,34,102,102,69.7,32.3,32.3
Sandwiches March 2024.csv,Side Applesauce,,FOOD,,2,0,0,,,
Sandwiches March 2024.csv,Side Caesar Salad,,FOOD,,8,0,0,,,
Sandwiches March 2024.csv,Side Garden Salad,,FOOD,,51,0,0,62.73,0,0
Sandwiches March 2024.csv,Side Spinach,,FOOD,,2,3,3,,,
Sandwiches March 2024.csv,Side Veg,,FOOD,,15,0,0,,,
Sandwiches March 2024.csv,Sweet Fries,,FOOD,,304,720,720,504.64,215.36,215.36
Sandwiches March 2024.csv,The Smokehouse Burger,,FOOD,,448,7694.09,8069.5,2593.92,5100.17,5475.58
Sandwiches March 2024.csv,The Usual Burger,,FOOD,,498,7646.68,7993,2385.42,5261.26,5607.58
Sandwiches March 2024.csv,Yellow Fin Tuna Sandwich,,FOOD,,92,1714.47,1751.5,601.68,1112.79,1149.82
Sandwiches March 2024.csv,Total,,,,3597,45335.72,47599.5,16605.07,,
