Table Names,item,size,category,sku,quantity,net_sales,gross_sales,cost,net_margin,gross_margin
Salads January 2024.csv,Caesar Salad,,FOOD,,262,4437.46,4695,,,
Salads January 2024.csv,Chili,Cup,FOOD,,97,568.58,583.5,,,
Salads January 2024.csv,Chili,Bowl,FOOD,,80,635.97,644,,,
Salads January 2024.csv,Chimichurri Steak Salad,,FOOD,,134,2745.67,2822,909.86,1835.81,1912.14
Salads January 2024.csv,Crab Cakes,,BANQUETS,,13,234,234,,,
Salads January 2024.csv,Cranberry Quinoa Salad,,FOOD,,233,4056.11,4355,1025.2,3030.91,3329.8
Salads January 2024.csv,Fajita Salad,,FOOD,,183,3722.07,3834,516.06,3206.01,3317.94
Salads January 2024.csv,Fall Harvest Salad,,FOOD,,180,3566.78,3757,669.6,2897.18,3087.4
Salads January 2024.csv,French Onion Soup,,FOOD,,611,4793.21,4889.5,,,
Salads January 2024.csv,House Salad,,FOOD,,44,634.61,679,,,
Salads January 2024.csv,New York Strip Steak,,FOOD,,18,324,324,182.7,141.3,141.3
Salads January 2024.csv,Seafood Soup,Cup,FOOD,,65,505.86,520,,,
Salads January 2024.csv,Seafood Soup,Bowl,FOOD,,35,336.25,350,,,
Salads January 2024.csv,Side Caesar Salad,,FOOD,,125,1143.12,1212,,,
Salads January 2024.csv,Side Garden Salad,,FOOD,,196,1515.93,1618,241.08,1274.85,1376.92
Salads January 2024.csv,Soup Du Jour,Bowl,FOOD,,111,759.61,777,,,
Salads January 2024.csv,Soup Du Jour,Cup,FOOD,,267,1276.93,1335,,,
Salads January 2024.csv,Sub Caesar 1st,,FOOD,,5,3,3,,,
Salads January 2024.csv,Sub House 1st,,FOOD,,11,0,0,,,
Salads January 2024.csv,Total,,,,2670,31259.16,32632,3544.5,,
