discount,quantity,total
Anniversary,1,-8
Birthday,2,-16.25
Didn't Like Food,7,-78.5
Employee 50%,35,-343.5
Food Quality,23,-316.8
Free Appetizer,2,-32
Free Dessert Coupon,1,-8
Kitchen Mistake,3,-31
Mug Club Wine,1,-5.4
Open Discount,47,-328.3
Server Mis-ring,8,-69
Total,130,-1236.75
