discount,quantity,total
$5 Off Coupon,1,-5
Anniversary,1,-14
BOGO Coupon,21,-210
Birthday,2,-16
Didn't Like Food,9,-74
Employee 50%,43,-332.13
Food Quality,25,-353.25
Free Appetizer,1,-14
Free Dessert Coupon,13,-105
Kitchen Mistake,5,-61.75
Mug Club Wine,5,-25.5
Open Discount,20,-96.6
Server Mis-ring,9,-106.25
Total,155,-1413.48
