discount,quantity,total
$5 Off Coupon,1,-5
Anniversary,1,-8
BOGO Coupon,2,-20
Birthday,3,-25
Didn't Like Food,10,-140
Employee 50%,63,-400.34
Food Quality,20,-284.5
Free Dessert Coupon,2,-16
Kitchen Mistake,1,-36
Mug Club Wine,7,-33.75
Open Discount,64,-407.43
Server Forgot,1,-13
Server Mis-ring,8,-110
Total,183,-1499.02
