discount,quantity,total
Anniversary,2,-16
Birthday,1,-8
Didn't Like Food,10,-99.5
Employee 50%,38,-338
Food Quality,23,-275.25
Free Dessert Coupon,1,-8
Kitchen Mistake,3,-50.5
Mug Club Wine,7,-33.3
Open Discount,45,-327.8
Server Forgot,2,-21
Server Mis-ring,21,-308.75
Total,153,-1486.1
