discount,quantity,total
Anniversary,4,-40
Birthday,42,-405
Didn't Like Food,24,-326
Email Champagne,4,-42
Email Dessert,2,-19
Email TY Dining,2,-29
Email TY Joining,7,-101
Employee 50%,193,-1530.75
FREE Dessert APP,2,-20
FREE Dessert Coupon,7,-68
FREE Pretzel Coupon,11,-143
Food Quality,6,-114
Happy Hour $1 Off,32,-32
Happy Hour 50%,29,-215.5
Karate School,2,-20
Kitchen Mistake,9,-122
Mug Club Wine,11,-50.1
Open Discount,16,-202.5
Server Mis-ring,7,-96
Total,410,-3575.85
