month,name,quantity,net_sales
april,brunch,223,21717.19
april,dinner,4144,328867.46
april,lunch,928,62823.1
march,brunch,237,24863.29
march,dinner,4455,366031.6
march,lunch,912,59616.84
february,brunch,203,19124.2
february,dinner,4112,323206.76
february,lunch,1063,84738.41
january,brunch,257,23362.59
january,dinner,3751,315977.52
january,lunch,950,70048.02
may,brunch,250,28245.56
may,dinner,4298,360902.57
may,lunch,1019,72133.45
