Table Names,type,item,size,quantity,gross_sales
rum june.csv,rum,Bacardi Rum,Mug Dbl,61,436
rum june.csv,rum,Bacardi Rum,DBL,4,32
rum june.csv,rum,Bacardi Rum,Mix,37,281
rum june.csv,rum,Bacardi Rum,RX,1,10
rum june.csv,rum,Captain Morgan,DBL,37,296
rum june.csv,rum,Captain Morgan,Mix,66,463
rum june.csv,rum,Coconut Rum,Mix,73,513
rum june.csv,rum,Coconut Rum,DBL,3,24.75
rum june.csv,rum,Meyers Dark,Mix,10,65
rum june.csv,rum,Well Rum,Mix,78,601.75
rum june.csv,rum,Well Rum,RX,2,18
rum june.csv,rum,Well Rum,DBL,7,60.5
rum june.csv,rum,Total,,379,2801
scotch june.csv,scotch,Glenlivet 12,DBL,1,20
scotch june.csv,scotch,Glenlivet 12,RX,2,64
scotch june.csv,scotch,JW Black,RX,7,133
scotch june.csv,scotch,Macallan 12,RX,1,30
scotch june.csv,scotch,Well Scotch,Manhattan,2,32
scotch june.csv,scotch,Well Scotch,Mix,8,66
scotch june.csv,scotch,Well Scotch,RX,6,90
scotch june.csv,scotch,Well Scotch,DBL,2,20
scotch june.csv,scotch,Well Scotch,Mug Dbl,2,16.5
scotch june.csv,scotch,Total,,31,471.5
bourbon june.csv,bourbon,Bulleit Bourbon,RX,35,595
bourbon june.csv,bourbon,Bulleit Bourbon,Manhattan,6,120
bourbon june.csv,bourbon,Bulleit Bourbon,Shot,1,9
bourbon june.csv,bourbon,Bulleit Bourbon,Mix,4,44
bourbon june.csv,bourbon,Bulleit Bourbon,DBL,4,48
bourbon june.csv,bourbon,Jim Beam Black,Shot,20,160
bourbon june.csv,bourbon,Jim Beam Black,RX,2,26
bourbon june.csv,bourbon,Jim Beam Black,DBL,5,55
bourbon june.csv,bourbon,Jim Beam Black,Manhattan,4,64
bourbon june.csv,bourbon,Jim Beam Black,Mix,4,34
bourbon june.csv,bourbon,Knob Creek,RX,9,135.5
bourbon june.csv,bourbon,Knob Creek,Mix,2,22
bourbon june.csv,bourbon,Knob Creek,Manhattan,4,68
bourbon june.csv,bourbon,Knob Creek,DBL,4,52
bourbon june.csv,bourbon,Makers Mark,Manhattan,14,266
bourbon june.csv,bourbon,Makers Mark,Mug Dbl,7,77
bourbon june.csv,bourbon,Makers Mark,RX,39,624
bourbon june.csv,bourbon,Makers Mark,DBL,7,91
bourbon june.csv,bourbon,Makers Mark,Mix,6,66
bourbon june.csv,bourbon,Southern Comfort,Mix,1,7
bourbon june.csv,bourbon,Southern Comfort,DBL,1,8
